POI,Participants,Money,Date,Country,lat,lng
Hospital,13,"$93,200.46",7/20/2019,United States,30.21,-97.8
School,7,"$92,390.10",5/17/2019,Canada,45.41675,-71.6324
Hospital,3,"$95,999.21",3/16/2019,Brazil,-29.7549941,-51.150283
Hospital,27,"$67,430.37",5/31/2019,Indonesia,-6.4871369,106.8007712
Hospital,17,"$50,041.55",5/6/2019,Philippines,10.3492919,123.9133184
Hotel,12,"$41,524.28",2/14/2019,Sweden,57.8644157,13.4263048
School,6,"$44,913.48",4/29/2019,Portugal,40.0341373,-8.41643
Hotel,5,"$98,567.20",9/8/2019,Lithuania,55.5945618,26.4507193
Hospital,28,"$29,625.92",1/9/2019,Sri Lanka,6.009544,80.780153
Restaurant,19,"$92,735.71",8/12/2019,United States,33.7200336,-84.5851994
Hotel,4,"$64,412.36",4/17/2019,Philippines,17.5358596,121.6851715
Hospital,28,"$44,130.03",4/11/2019,China,44.6441724,-63.6010175
Restaurant,7,"$43,041.92",7/1/2019,Sweden,59.3938804,15.8607653
Hospital,3,"$36,478.90",9/20/2019,Sweden,57.7197857,12.933356
Restaurant,27,"$65,598.61",8/12/2019,Mexico,19.3579802,-99.0806088
Restaurant,20,"$81,822.23",7/9/2019,France,45.130018,3.562575
Restaurant,15,"$74,629.57",9/12/2019,China,25.526437,111.600795
Hotel,28,"$93,756.74",3/16/2019,Brazil,-29.2231867,-51.3423619
School,5,"$51,783.75",7/9/2019,Israel,31.8123014,34.7770192
Hospital,23,"$20,083.76",3/16/2019,Indonesia,-6.1078857,106.7791791
Hotel,23,"$62,879.37",9/30/2019,Angola,-9.2993916,14.9096846
Hotel,16,"$94,072.24",2/7/2019,France,43.4945737,5.8978018
Hotel,25,"$6,946.99",5/31/2019,China,23.701262,117.430061
School,30,"$85,759.34",11/14/2019,Poland,50.4936201,18.9603307
Restaurant,10,"$2,201.40",4/5/2019,Greece,37.3129763,26.5468773
School,25,"$7,654.64",3/5/2019,Greece,39.2303755,26.2174959
Hotel,26,"$92,817.68",3/25/2019,France,48.7663087,2.4119232
Hospital,16,"$94,265.97",12/3/2019,Norway,59.2254827,9.5589227
Restaurant,16,"$9,614.64",10/3/2019,Ukraine,50.239411,30.5455655
Restaurant,27,"$86,552.52",9/8/2019,France,45.7417486,4.8867899
School,8,"$89,664.39",1/4/2019,Lithuania,54.51667,24.83333
Hospital,30,"$38,697.78",3/23/2019,Mongolia,47.78333,112.11667
Restaurant,20,"$19,717.43",7/27/2019,Mauritania,16.1535575,-13.5032081
Hotel,17,"$81,775.12",1/15/2019,China,33.347316,120.16366
School,9,"$10,418.27",8/21/2019,Pakistan,25.4105868,68.418057
Hotel,1,"$68,993.48",2/20/2019,France,47.772714,-1.813332
School,21,"$91,746.32",6/6/2019,Poland,52.1412597,20.8418962
Hospital,25,"$83,416.00",1/22/2019,Ireland,53.32112,-6.2398782
Restaurant,4,"$56,159.98",11/6/2019,Nigeria,6.5959532,3.5033042
School,17,"$55,305.33",6/20/2019,Andorra,42.5666535,1.5994581
Hotel,14,"$7,359.56",11/25/2019,China,30.93908,113.733313
Restaurant,15,"$27,961.90",5/5/2019,Ukraine,45.0274234,35.0863723
Hotel,13,"$84,753.98",3/23/2019,Philippines,15.7924989,120.988562
Hotel,18,"$76,139.88",8/29/2019,Indonesia,-6.9203,113.4257
Hotel,29,"$66,337.07",10/14/2019,Portugal,39.7546452,-8.5234076
Hotel,28,"$20,754.10",9/19/2019,Japan,35.7390788,140.3438019
Hotel,11,"$46,420.94",9/28/2019,France,44.7352635,4.5991033
School,28,"$24,994.45",9/3/2019,China,47.182723,123.00932
Hospital,15,"$34,107.00",3/13/2019,South Korea,34.5732516,126.5989274
Hospital,3,"$77,728.06",11/17/2019,China,22.385929,111.688745
Restaurant,21,"$23,475.73",9/24/2019,China,41.149869,114.722326
Hotel,8,"$23,399.62",9/21/2019,Indonesia,-7.4011226,111.5110576
School,27,"$49,077.16",8/2/2019,Palestinian Territory,31.607383,35.03913
Hospital,3,"$31,416.85",2/21/2019,Albania,42.0692985,19.5032559
Hospital,29,"$53,468.45",2/23/2019,China,39.903307,116.649432
Hotel,14,"$3,655.91",3/27/2019,Sweden,63.0074575,16.6640489
Restaurant,29,"$66,247.01",12/13/2019,Bolivia,-9.718793,-65.395393
Restaurant,30,"$93,077.61",5/20/2019,Philippines,7.7299001,125.1001641
School,23,"$16,899.40",5/10/2019,Indonesia,-6.612633,111.0631793
Hospital,26,"$69,113.30",8/2/2019,Indonesia,-7.2914614,112.6109257
Hotel,4,"$69,395.62",9/24/2019,Cameroon,7.0513571,14.4344853
Hospital,3,"$24,247.23",3/15/2019,Mali,14.4874284,-4.1974627
Hospital,8,"$13,635.63",5/13/2019,Dominican Republic,18.9331158,-70.4059336
Hospital,15,"$3,174.50",4/24/2019,Albania,39.7271767,20.0598549
Hospital,27,"$30,837.89",1/2/2019,Brazil,-22.9304477,-47.0897445
Hospital,12,"$99,534.00",11/18/2019,China,30.135462,113.184645
Restaurant,22,"$62,387.90",11/7/2019,Syria,33.3585811,36.2264681
Restaurant,7,"$4,282.35",2/12/2019,Indonesia,-6.7332152,111.1950767
School,3,"$27,602.98",7/14/2019,Iran,38.4244545,48.4782419
Restaurant,4,"$57,842.24",6/11/2019,United States,32.7495898,-117.1046198
Restaurant,18,"$34,524.89",2/12/2019,China,22.251924,112.794065
Restaurant,20,"$61,658.75",1/9/2019,Egypt,31.2000924,29.9187387
Hospital,29,"$99,673.08",11/25/2019,Mongolia,49.0757178,107.0295809
Hospital,9,"$62,298.04",6/26/2019,China,33.467588,104.285114
Restaurant,8,"$12,236.97",1/8/2019,Poland,52.1741837,22.9436435
School,22,"$62,072.70",1/22/2019,China,30.661419,116.244678
Hotel,25,"$81,111.85",1/7/2019,Syria,35.12751,36.21444
Hotel,5,"$98,197.14",12/22/2019,China,30.2427011,120.1502699
Restaurant,1,"$40,253.05",10/31/2019,Serbia,45.0575208,20.1945283
Hospital,3,"$57,519.28",7/27/2019,Colombia,5.8765279,-73.0287209
Restaurant,5,"$15,345.67",7/26/2019,Moldova,46.62222,29.91333
School,12,"$86,214.38",11/13/2019,Philippines,13.059287,121.411664
Restaurant,10,"$19,787.11",5/23/2019,Armenia,40.2928735,44.3505077
School,9,"$59,343.07",5/25/2019,Syria,34.8422936,36.7307641
Hospital,15,"$74,553.01",9/23/2019,Finland,63.6939838,22.7427761
Hospital,15,"$21,471.82",6/26/2019,Venezuela,9.3887516,-67.0613528
Restaurant,6,"$20,378.38",1/8/2019,Indonesia,-6.3874037,106.8620891
Hotel,10,"$17,710.81",1/16/2019,Indonesia,-5.7577862,105.6984455
Restaurant,17,"$22,948.11",5/18/2019,Dominica,15.38447,-61.344385
Hospital,12,"$34,306.25",10/9/2019,Mexico,17.9567646,-102.1943485
Hospital,15,"$83,197.01",1/30/2019,Sweden,59.362551,18.0343914
Hospital,19,"$62,802.03",1/30/2019,Indonesia,-8.255,116.2591
Restaurant,23,"$74,645.71",5/26/2019,Portugal,39.2298803,-8.6901131
Hospital,5,"$73,936.63",11/2/2019,Germany,48.1214727,11.5322563
Hospital,8,"$72,976.34",5/27/2019,Tanzania,-2.164898,31.5370003
